,Production,Activity ($millions),GWP (tons CO2e),Employee Compensation ($millions),Taxes ($millions),Surplus ($millions),Total VA,NOX emissions (tons),SO2 emissions (tons),PM2.5 emissions (tons),VOC emissions (tons),NH3 emissions (tons),Deaths,Total PM2.5 WhiteNoLat mortalities,Total PM2.5 Latino mortalities,Total PM2.5 Black mortalities,Total PM2.5 Asian mortalities,Total PM2.5 Native mortalities,Total PM2.5 Other mortalities,Total PM2.5 TwoXPov mortalities,Total PM2.5 Poverty mortalities,PrimaryPM2_5 TotalPop mortalities,pSO4 TotalPop mortalities,SOA TotalPop mortalities,pNO3 TotalPop mortalities,pNH4 TotalPop mortalities,TotalPop direct mortalities,WhiteNoLat direct mortalities,Latino direct mortalities,Black direct mortalities,Asian direct mortalities,Native direct mortalities,Other direct mortalities,TwoXPov direct mortalities,Poverty direct mortalities,Race_EJ,Income_EJ
"Manufactured home, mobile home, manufacturing",6740,1000,702934.3479,674.4090216,49.67456441,266.5764005,990.6599865,2321.309552,1547.321329,383.5088574,1027.621385,160.1489616,18.86207882,12.23349689,2.393854331,3.054817234,0.738483402,0.070961893,0.37046507,12.05008222,2.851544379,5.570247344,7.201308403,1.262306013,4.642882888,0.185253263,0.201144594,0.123690659,0.029117209,0.034419537,0.008759347,0.001054254,0.004103588,0.124119027,0.03274242,-0.00026146,0.000322717
Prefabricated wood building manufacturing,3743,1000,534556.4345,655.4559969,47.4592052,290.0863399,993.001542,2529.265063,1233.26232,512.6134565,1029.414568,281.1549021,21.30095462,14.16273872,2.676520554,3.141822121,0.822030822,0.081530619,0.41631179,13.67189456,3.159624791,6.309323137,5.66162128,1.624305128,7.562341113,0.143202809,0.706018079,0.418846906,0.116834556,0.121142982,0.030523156,0.004318498,0.014351982,0.417516997,0.123095518,-0.000785633,0.000196567
Miscellaneous wood product manufacturing,4632,1000,628926.9058,642.7409323,50.94842916,299.6904291,993.3797906,3362.810198,1576.535771,853.4745297,1981.591912,442.1066144,30.6504749,20.2473266,3.959926606,4.50753252,1.211662361,0.122261818,0.601765002,19.60385629,4.578696084,9.893100921,7.215302046,2.811835435,10.58329283,0.14661786,4.083591019,2.438274568,0.658870291,0.702568901,0.176930939,0.024093151,0.082853168,2.436137213,0.702499084,-0.000944464,0.000389762
Pulp mills,5266,1000,1713650.953,518.8416684,54.11924162,398.3382489,971.2991589,6312.04077,8156.154279,1092.743998,1940.260043,440.1297872,58.36519031,39.34529456,5.576024164,10.27070745,1.808535008,0.257879205,1.10674993,36.8079913,9.011246854,11.32626521,31.67978633,2.206408268,12.43977728,0.712178286,21.21755983,14.43796005,1.465024784,4.38574647,0.439092794,0.114419335,0.375316392,12.79231181,3.581030254,-0.002913386,0.001659929
Paper mills,46011,1000,1518142.629,466.362508,45.22600387,460.4274231,972.015935,5659.79968,7238.823948,918.5554535,2148.95205,324.931603,49.09367777,32.91380226,4.770282662,8.515394545,1.705846082,0.206206455,0.982145767,31.64831007,7.239799516,10.03835253,28.02313564,1.843458151,8.347777371,0.840491694,24.96468558,17.05281514,1.963029319,4.522079891,0.797817027,0.116108014,0.512836189,16.16712032,3.631349557,-0.002194628,0.000288722
Paperboard Mills,19879,1000,1944348.381,477.8503472,52.61744386,413.2914426,943.7592336,6191.674008,6735.729488,1210.898945,2576.6905,407.9146293,52.28251917,34.64931943,5.22190236,9.487750624,1.673710966,0.227383397,1.022452395,32.85211759,8.122103322,12.40619944,25.78604729,2.288328102,10.79717328,1.004156099,23.87762344,15.75486395,1.898331229,5.05515301,0.575622347,0.125536651,0.468116259,14.43428935,3.986455818,-0.001769289,0.001659218
Paperboard container manufacturing,42160,1000,1038930.376,596.9273376,52.31178236,334.2345212,983.4736412,3570.439255,3778.912274,537.0231114,2325.350991,175.4089776,29.90419969,19.31229589,3.406980858,5.350655754,1.12058079,0.118780452,0.594905946,18.99872267,4.580311594,7.119558054,14.90586047,2.540549291,4.892940686,0.445121856,2.94488709,1.591085911,0.568112561,0.544867397,0.171387634,0.008412202,0.061021386,1.824254467,0.489721608,-0.00029758,0.000697942
"Coated and laminated paper, packaging materials, and plastic films manufacturing",11861,1000,895727.366,519.3309791,41.26870747,425.7777845,986.3774711,2795.357255,3042.597723,382.4226048,2978.644012,136.6161881,25.4595484,16.56036386,2.793676434,4.576572391,0.928644917,0.09688378,0.503407016,16.15257473,3.924176576,5.460978872,12.78320716,3.088905191,3.763838513,0.362487312,4.555979002,2.985855157,0.44177388,0.855751633,0.167255914,0.013858365,0.091484053,2.849867659,0.733797574,-0.000420523,0.000660651
All other paper bag and coated and treated paper manufacturing,5045,1000,965267.6671,604.1036445,48.51993403,329.4781307,982.1017092,3039.671514,3320.696512,432.9665774,2952.244934,142.1120224,27.55435822,17.83150348,3.108128704,4.947684948,1.012611546,0.1073022,0.547127346,17.49520474,4.235665541,6.283316276,13.84668633,3.023741207,3.999334876,0.401126158,3.498565787,2.238681487,0.370092459,0.679762553,0.12812785,0.011377726,0.070523713,2.139628309,0.588766454,-0.000326061,0.000682648
Stationery product manufacturing,7600,1000,809776.7838,573.9173775,45.85533369,341.7207402,961.4934514,2858.332346,2970.713352,411.0191371,2017.196291,137.7070616,23.34159388,15.22699165,2.559211038,4.147691001,0.850728371,0.093540169,0.463431658,14.85877077,3.557106283,5.123098664,11.91203575,2.149770255,3.826901755,0.329685919,1.382466639,0.83178438,0.217463116,0.230903458,0.069058497,0.00468635,0.028570838,0.870896035,0.221123889,-0.000448018,0.000489578
Sanitary paper product manufacturing,7740,1000,973952.9693,398.9190066,35.12359074,550.0764469,984.1190443,3473.747998,4298.521455,531.387291,1826.429399,191.6373042,30.18926948,19.91998728,3.203600731,5.242570529,1.096908575,0.125265922,0.600936439,19.37202056,4.513189772,6.536778149,16.54346916,1.780954094,4.878310308,0.449584163,1.784505245,1.018652942,0.33704574,0.28493437,0.09904658,0.008153978,0.036671635,1.116947376,0.287851717,-0.000898253,0.000359709
All other converted paper product manufacturing,4362,1000,899778.5754,555.2132759,41.49895705,364.5537576,961.2659906,3160.925592,3129.677284,424.0882773,1924.16902,132.2809888,25.00883269,16.11461452,2.92104835,4.424500773,0.952127881,0.100688441,0.495852723,15.89267645,3.831517941,5.741247462,12.41465039,2.007223656,4.531379606,0.314210085,1.845795172,1.056005924,0.342032942,0.302174069,0.099487496,0.008149276,0.037945466,1.153862905,0.297946411,-0.000197738,0.000583901
Printing,66972,1000,545565.4744,624.7251289,38.00597702,330.0177057,992.7488116,1661.202555,1872.895229,224.4355993,1924.487622,92.43642738,15.42146818,9.937516753,1.771817133,2.749854645,0.593601294,0.058919626,0.309758726,9.856456665,2.341066741,3.308031106,7.866852288,1.905805334,2.166184056,0.174548932,1.594103649,0.984030292,0.219901903,0.275127701,0.074291164,0.00584223,0.034910359,1.007396154,0.252309301,-0.000122762,0.000283287
Support activities for printing,6871,1000,357805.3364,681.4611349,32.11053907,281.0841597,994.6558337,1016.402417,1158.684336,132.5146934,693.0199777,51.88048701,9.224421804,5.95886738,1.069828617,1.61846949,0.359328456,0.033904059,0.184023802,5.917777618,1.388338319,2.042472995,4.979950256,0.708194644,1.396747682,0.097040678,0.089157609,0.049458045,0.015299237,0.016795308,0.005469148,0.000243812,0.00189206,0.057168519,0.013981744,-9.42E-05,0.000131492
Petroleum refineries,191546,1000,2792778.311,344.1136516,100.3232831,544.2439327,988.6808674,4386.471775,3310.502531,283.7139309,4156.250141,62.41598857,27.25273025,15.59776492,5.196140306,4.440234384,1.342841077,0.124235696,0.551513866,17.07300391,4.300140812,6.796360246,14.00909835,2.256473508,3.292947627,0.897615516,12.16829992,6.289769374,2.913089389,1.958205741,0.716014205,0.044174182,0.247047027,7.528591458,1.968333181,0.002554605,0.001039565
Asphalt paving mixture and block manufacturing,7460,1000,1667504.86,447.4284164,60.44138459,478.5491388,986.4189397,3898.423578,3405.884387,736.792068,2039.447394,85.83738722,36.66805681,21.74167589,5.726495275,6.611786972,1.713873154,0.132236014,0.741989504,23.22604322,5.745326533,18.56922539,12.33278969,1.322278273,3.88879844,0.554684915,15.43780197,8.727587283,2.552518219,3.017001069,0.781048438,0.045501238,0.314145726,9.748582808,2.476193533,0.002371373,0.001179989
Asphalt shingle and coating materials manufacturing,5799,1000,1157359.748,439.0395348,49.49996206,502.3938774,990.9333743,2834.912491,2559.334298,468.57267,1381.580056,64.51682773,25.68206011,15.47893684,3.879691732,4.533003888,1.169349814,0.098200912,0.522876927,16.31473073,3.980251742,11.39246805,9.97502147,0.939297908,2.940938231,0.434199798,6.961088982,3.888757145,1.171723248,1.380851613,0.358044137,0.019950602,0.141762236,4.392552977,1.12069774,0.001306344,0.000704647
Petroleum lubricating oil and grease manufacturing,7762,1000,1835507.981,444.7712129,72.56157462,472.6831333,990.0159208,3239.243451,2766.150765,274.4874281,2430.440643,105.4364815,23.05618056,13.70268098,3.828516168,3.945166514,1.027439728,0.093917915,0.458459251,14.48358854,3.633841926,5.628280491,12.24516541,1.466382982,3.106855956,0.609362495,2.372521698,1.437169568,0.396727107,0.39097476,0.096966166,0.006920188,0.043763909,1.506180126,0.362236113,0.001446015,0.000850294
All other petroleum and coal products manufacturing,1343,1000,2753997.722,402.9081188,75.5891661,473.9581683,952.4554533,7257.459887,28608.39557,1556.289685,2989.003415,93.78073779,207.704554,123.4822347,35.71141116,35.4484448,8.610645342,0.649734152,3.802083929,131.6905979,31.85978891,34.95833846,159.2654474,1.844458088,10.6717805,0.954904771,184.3314076,109.6306187,31.76202784,31.53663896,7.524455246,0.547759028,3.329907883,116.9669435,28.20344099,0.012970332,0.005086753
Petrochemical manufacturing,22840,1000,2922078.166,434.3490387,81.95392359,469.9762296,986.2791918,4518.542616,3825.441835,419.7946853,2963.983939,204.3591419,32.78135926,19.45507498,5.323926735,5.844808241,1.384860774,0.130904998,0.641783532,20.44687118,5.271165054,7.971076689,17.01651107,1.84203932,5.08832594,0.86309048,2.567523154,1.233264221,0.735705996,0.432022118,0.116740263,0.009813344,0.039977212,1.558963089,0.428572689,0.002094685,0.001516612
Industrial gas manufacturing,6052,1000,5505955.835,430.2149542,65.96425999,495.6731845,991.8523986,4972.127369,5841.693913,527.8169892,1150.80322,271.8018765,41.52501758,26.87003679,4.828650588,7.237745116,1.603095495,0.165585589,0.819904,26.79587353,6.146548016,7.401012529,27.50824973,0.764340066,5.25238897,0.598755569,3.102821016,1.81833651,0.534861083,0.534031022,0.119743404,0.027885872,0.067963124,1.889890561,0.50981735,-0.000487956,0.000282045
Synthetic dye and pigment manufacturing,6256,1000,1892663.657,579.7682465,56.03218332,346.5208465,982.3212764,3707.251087,5645.926187,629.1470816,1466.210807,140.1614893,46.31213522,27.32306666,6.556448399,9.780359783,1.657665334,0.143594847,0.851000203,28.66113271,7.655376721,15.08337123,24.98058142,1.207358649,4.49703,0.542928698,21.49479474,11.48937931,3.48741446,5.396825637,0.703637304,0.053920082,0.363617949,12.88757759,3.82723782,0.003188276,0.002723055
Alkalies and chlorine manufacturing,3491,1000,3504640.448,577.7945336,73.2539822,335.1695513,986.2180672,7153.099789,9189.661069,1460.726148,1430.707003,146.0692297,69.03649002,43.62468657,8.826854631,12.3495488,2.616672198,0.276083461,1.342644353,43.85297505,10.60138655,19.86659871,40.37961543,1.051361113,7.221054592,0.516993716,17.64970342,10.83039687,2.527931191,3.313923019,0.575113314,0.079713678,0.322625347,10.98289584,2.793841102,0.000667138,0.001676138
Carbon black manufacturing,1056,1000,4073217.375,459.0970994,66.65387445,461.3465447,987.0975186,16079.18955,93262.09377,1766.234148,5278.679944,90.69732422,437.6435708,267.2763502,62.414791,83.13312708,14.84851057,1.924116486,8.046675426,273.1623655,69.02515627,26.10107223,388.6361438,3.823432417,18.20486319,0.84576843,416.1461658,254.1375999,59.2200198,79.42626323,13.90278811,1.840199708,7.61929506,259.4604501,65.74445533,0.017318006,0.017135217
All other basic inorganic chemical manufacturing,17743,1000,2182688.252,634.1649535,59.39954207,286.9783727,980.5428682,4367.385225,7602.583396,867.0698399,1059.581659,205.8159388,53.33489717,33.40667419,7.08626293,9.591948026,2.015324121,0.206670476,1.028017424,33.80962609,8.222199654,13.1810845,33.84604144,0.861409018,4.262748429,1.183064114,15.67323796,9.517928023,2.265404474,3.019532676,0.518615754,0.065719898,0.286037134,9.707144991,2.524315035,0.000933242,0.001401524
Other basic organic chemical manufacturing,57261,1000,2722949.222,552.9338548,64.84422062,365.2082422,982.9863177,5584.805183,5226.561563,785.3820474,2820.566973,661.4934183,46.32923095,29.00775564,5.632784617,8.983834883,1.624638233,0.170063148,0.910154423,28.71909704,7.637510844,11.58841292,23.33910253,2.029818886,8.604061905,0.767223089,18.82349909,11.71112653,1.853897379,4.302007578,0.520538516,0.063990671,0.371938416,11.19256001,3.445019656,0.000826003,0.002653862
Plastics material and resin manufacturing,46422,1000,2509658.349,535.9315824,66.31712497,382.4777256,984.726433,4186.031136,4093.338627,471.4861976,2017.057807,256.873455,34.67453281,21.31739966,4.891770741,6.346161996,1.32648919,0.126775612,0.665935615,21.73043114,5.525603931,8.173154046,18.94266061,1.566645774,5.369069956,0.622665867,4.350787736,2.5493516,0.79179564,0.753846259,0.167781201,0.012702658,0.075310377,2.71449252,0.691343143,0.001173002,0.001440545
Synthetic rubber manufacturing,5790,1000,1876093.827,536.8623749,57.19768266,390.6408342,984.7008917,4136.696935,5293.270947,501.4198338,2287.67583,201.1947346,43.5304406,26.59068417,6.45618454,7.844603214,1.671812421,0.150216139,0.816940118,27.34684289,6.872386995,9.741746996,25.62541174,1.976185767,5.47346624,0.712890616,15.5762321,9.273116183,2.684337616,2.700302616,0.601478537,0.044301573,0.272695578,9.779184448,2.445891438,0.001714209,0.001630629
Artificial and synthetic fibers and filaments manufacturing,12375,1000,1764760.116,623.1643394,43.24427902,320.1196933,986.5283116,4717.29946,6184.745608,903.8592623,2375.234735,850.6026888,46.5430491,30.90721478,4.668145881,8.46120608,1.400112587,0.218949063,0.887420708,28.84215804,7.477395846,12.36002852,26.37220535,1.948147932,5.447425515,0.4140705,17.82834243,12.66697306,1.164204778,3.23666329,0.327751909,0.109068916,0.32368048,10.69083888,2.988172611,-0.001662039,0.002233267
Fertilizer Manufacturing,10291,1000,6619271.824,552.820891,69.89613702,366.490633,989.2076611,7841.628151,8759.785966,1166.597325,1667.793086,2349.19672,63.17332692,39.9552044,8.702942942,10.97937238,2.099004703,0.255437153,1.181365336,39.51676817,9.960353707,16.21243407,30.13981903,1.238098553,8.307250426,7.273427815,34.58320192,22.13724298,4.868397816,5.932528974,0.894054447,0.144127793,0.606849909,21.29731028,5.578790166,0.000560382,0.002422618
Pesticide and other agricultural chemical manufacturing,9570,1000,944956.8659,410.784977,40.41429642,538.8646758,990.0639492,2551.62817,2833.97036,322.2229713,1026.285421,186.4584848,23.09832945,14.7555524,2.745543551,4.19998065,0.861160039,0.078584718,0.457508089,14.71437349,3.551511989,5.193184909,12.94280828,1.003003722,3.625306051,0.333911704,6.27343112,4.157744019,0.639035519,1.100304087,0.2319494,0.017583012,0.126815083,4.135476261,0.878885297,-1.96E-06,0.000549721
Medicinal and botanical manufacturing,12794,1000,441706.7648,401.8244086,36.31141582,551.2754475,989.4112719,1146.935567,1081.31614,132.350341,1377.954069,112.3553397,10.95772457,6.772361007,1.451858499,1.997936795,0.478781161,0.036208925,0.220578178,6.941735051,1.717056186,2.452949359,5.036540339,1.742169644,1.516197171,0.209838637,3.588689595,2.162356311,0.518889904,0.641677327,0.182239973,0.010070026,0.073456053,2.275339202,0.564613174,0.000320287,0.000352468
Pharmaceutical preparation manufacturing,105558,1000,336061.4397,382.8002406,29.22510084,551.5351592,963.5605006,836.330037,869.4439474,119.4700658,1137.295706,110.6266459,8.715258265,5.380245855,1.16045094,1.592417841,0.377183245,0.02922652,0.175733863,5.507507333,1.373109339,2.117586076,3.981985954,1.436039041,1.083108904,0.096520549,2.416544383,1.439675997,0.361261775,0.433516655,0.125295303,0.006742453,0.0500522,1.523915753,0.385492838,0.000263451,0.000303866
In-vitro diagnostic substance manufacturing,9275,1000,347705.0371,531.1896918,34.37742522,413.9543424,979.5214595,856.9259025,922.596957,105.4079762,1109.260367,78.06489063,8.698925523,5.389931121,1.140035144,1.588569809,0.37538809,0.029444021,0.175557339,5.517057511,1.356132717,1.872721694,4.241053538,1.426887709,1.078023224,0.080222587,0.655629786,0.35752176,0.117355622,0.126670605,0.037848215,0.001913604,0.01431998,0.398041051,0.113243967,0.000235058,0.000261032
Biological product (except diagnostic) Manufacturing,8863,1000,305976.564,519.5233432,37.0582607,420.739315,977.3209189,749.0739049,732.3764873,83.95434181,1117.967698,66.60441314,7.400099616,4.542624056,0.994296007,1.362237032,0.325910894,0.024908158,0.150123469,4.680528701,1.161155849,1.530469614,3.366144371,1.464982768,0.967994053,0.070495769,1.160931214,0.63784535,0.204902877,0.223264224,0.066380374,0.003400271,0.025138118,0.707349577,0.198922429,0.000260005,0.000245304
Paint and coating manufacturing,19383,1000,1073997.228,562.031771,44.89175997,381.9670987,988.8906297,2638.19523,2577.78209,425.4478723,1290.448258,153.710061,24.20652141,14.63425594,3.479847527,4.531943082,0.999239783,0.084669779,0.476565294,15.10875389,3.906972365,8.700132856,10.94417705,1.24690337,2.954660135,0.360522944,2.836718229,1.469623632,0.577983845,0.557861937,0.166072534,0.007107779,0.058068502,1.67617272,0.515839445,0.001168277,0.001147465
Adhesive manufacturing,7465,1000,1214747.464,579.8084019,49.36267307,359.7722459,988.9433209,2684.256348,2769.368964,386.9368613,1220.45812,162.4762873,22.69335866,14.02470596,3.200445808,3.991762392,0.94478458,0.081520601,0.450139318,14.39901454,3.522963658,7.297845905,11.30803115,0.986382107,2.767958143,0.33304036,2.766103899,1.675743314,0.455374404,0.427670808,0.14268341,0.006879204,0.057752759,1.812978389,0.404207235,0.00066444,0.000644492
Soap and cleaning compound manufacturing,30249,1000,811676.9803,402.0565446,40.25992285,536.8870022,979.2034696,1887.334753,2169.711384,278.5976567,799.2535823,164.2539235,16.52551901,10.13604845,2.277762814,3.06123193,0.665448945,0.059914447,0.325112425,10.43474247,2.590615263,4.861952455,8.64388479,0.652504349,2.116738715,0.250380952,2.670762241,1.48747773,0.453115274,0.549381343,0.120932386,0.008318997,0.051536512,1.680811481,0.422691745,0.000592349,0.000551229
Toilet preparation manufacturing,29920,1000,590770.0963,422.9739165,32.75468836,521.9812288,977.7098336,1403.597572,1789.882974,256.8264448,561.1514591,153.1765092,13.08858956,8.15529161,1.695082302,2.406034136,0.524771302,0.046825332,0.26058488,8.324016102,2.017650962,4.362641667,6.619900036,0.490413509,1.470983714,0.144613931,3.769049349,2.307088308,0.488435271,0.729920551,0.156217146,0.011996388,0.075391686,2.427699796,0.563297977,0.000289477,0.000330105
Printing ink manufacturing,4098,1000,1201064.738,619.0024576,51.25624376,314.7377624,984.9964638,2679.300182,4936.373258,331.7646255,1387.37201,86.46764156,31.53437157,18.9849715,4.602898027,6.019699959,1.208928211,0.119764293,0.598109581,19.71946332,5.024780524,7.034417802,20.27199282,1.157792683,2.765943288,0.30402309,1.183897132,0.630622544,0.242702533,0.213263394,0.070221586,0.003562055,0.023525019,0.749077838,0.184089163,0.001633998,0.00133081
All other chemical product and preparation manufacturing,30891,1000,1080467.96,592.4384061,46.294361,340.8762939,979.609061,2666.98904,3556.418485,403.2496658,1128.68568,148.7626709,28.37181176,18.19636723,3.652593391,4.734830267,1.134884389,0.093803149,0.559333337,18.19667935,4.286978195,6.953760298,16.67796914,1.072426944,3.247570428,0.419927689,10.23065567,6.852608311,1.261469832,1.459610701,0.426657651,0.026385426,0.20392375,6.712795049,1.464628583,-0.000104072,0.000444539
"Plastics packaging materials, film and sheet",28524,1000,1290105.067,556.3742226,47.35929593,386.148533,989.8820515,2735.483922,3016.4898,322.933709,1359.850838,130.8104037,23.75321456,14.91730662,3.152317382,4.19285499,0.930000282,0.092977357,0.46775793,15.07666916,3.67272394,5.647601143,13.45311834,1.226856262,3.122905187,0.302619364,2.076672027,1.299482374,0.356658201,0.262745788,0.096516918,0.014873595,0.046395152,1.340200607,0.306573111,0.000360135,0.000638895
Unlaminated plastics profile shape manufacturing,5436,1000,1077883.698,570.8931259,42.0623688,377.8585269,990.8140217,2313.163264,2581.395182,269.0569093,913.8692779,108.7116576,19.97925271,12.63498427,2.525511287,3.600298095,0.758497153,0.073120452,0.386841462,12.66429648,3.092641654,4.58430592,11.78393473,0.804290752,2.564611331,0.242036824,1.116860148,0.727171207,0.146269795,0.184311266,0.034522095,0.004574475,0.020011311,0.68445562,0.181302178,0.00017904,0.000553645
Plastics Pipe and Pipe Fitting Manufacturing,5315,1000,1415729.425,539.7878089,49.22234397,398.239592,987.2497449,3029.840195,2996.522929,418.6537494,4441.737929,160.6735912,30.24175335,18.51655142,4.466359048,5.390303987,1.181678202,0.106654208,0.58020648,19.05630094,4.729199008,7.900302478,13.89049076,4.748336867,3.281344163,0.421074859,7.429880696,4.236937681,1.472263594,1.258366197,0.298755711,0.02534705,0.138210463,4.6023305,1.183153568,0.0011298,0.001002472
"Laminated plastics plate, sheet, and shapes",2406,1000,1065383.097,597.0180868,46.35983697,346.9237019,990.3016257,2716.961935,3213.232374,360.8983261,2928.046435,116.8240847,24.59639217,15.67161268,2.934135483,4.501769881,0.914384905,0.090699832,0.483789396,15.5372986,3.826827551,5.837688157,13.02848558,2.519529939,2.940125931,0.270446484,4.705780638,2.949562389,0.539428375,0.952229881,0.158007547,0.015020305,0.091532141,2.858775739,0.786041763,5.57E-05,0.000752255
Polystyrene Foam Product Manufacturing,6119,1000,1251482.225,539.0702557,67.5770041,384.2414023,990.8886621,2691.682554,3144.152789,337.2059641,1640.342669,121.3462084,23.86472205,14.78498219,3.2425788,4.347084953,0.939981817,0.085640793,0.464453498,15.09738172,3.716993563,6.227908593,12.85387333,1.508271801,2.979462841,0.295089805,2.733031091,1.510519564,0.495415687,0.537671517,0.124824227,0.009740202,0.054859895,1.695324515,0.4457012,0.000647415,0.000727635
Urethane and Other Foam Product (except Polystyrene) Manufacturing,6880,1000,1135356.786,569.6023809,46.81975289,375.2655187,991.6876525,2638.071924,2685.664162,378.7219529,2936.840464,223.4753182,24.19610252,14.80687528,3.53775881,4.260162735,1.017644116,0.089823513,0.483838063,15.20219628,3.818930408,6.667360077,11.28856233,2.884151396,3.06420668,0.291693587,3.696635668,1.891087783,0.939205536,0.530007192,0.240395451,0.01408081,0.081858896,2.262168785,0.602456177,0.000915258,0.000903221
Plastics bottle manufacturing,8035,1000,1388196.449,531.5440097,47.75224459,408.7221142,988.0183685,2923.334748,3361.555711,328.1866647,1010.504217,134.4462993,25.17682432,15.93548425,3.138499564,4.55292654,0.970149698,0.089407913,0.490356354,16.02422188,3.874749483,5.443365642,15.25471665,0.836749834,3.349791325,0.292084851,0.300656378,0.148650873,0.076529733,0.04755038,0.020701081,0.000947128,0.006277184,0.185078859,0.050922321,0.000206523,0.000614534
Other plastics product manufacturing,75893,1000,903927.8144,604.5818605,43.34309832,340.0233484,987.9483073,2059.2154,2238.382463,247.6026908,864.601174,88.50272882,18.00453346,11.4206907,2.313778674,3.145918198,0.707929785,0.063912831,0.35230327,11.47528223,2.755324744,4.316961114,10.23139524,0.783558416,2.46592961,0.206630561,1.353647207,0.890083352,0.195250918,0.181194316,0.057169213,0.003536886,0.026412522,0.874906525,0.199539208,0.000112611,0.000396479
Tire manufacturing,14031,1000,1028236.262,671.1911762,68.36681679,233.3962629,972.954256,3272.277898,6861.229466,492.1467505,1522.908009,269.5069761,49.74057349,31.92275332,6.475013744,8.338210808,1.866167167,0.191008363,0.947420082,31.74170617,7.521020315,7.614495633,31.7688244,1.9979097,8.090210249,0.268693674,9.246148011,6.139143902,1.109416778,1.383274539,0.398702985,0.032786137,0.182823671,6.036942893,1.340063707,-0.000212731,0.000871653
Rubber and plastics hose and belting manufacturing,3919,1000,894234.7294,617.6513683,39.77226508,319.5319412,976.9555745,2318.258435,3312.309813,326.2162385,1186.975939,157.6953242,25.29615892,16.11897196,3.265012919,4.376514742,0.953140034,0.093224954,0.489294315,16.03219887,3.900378857,5.830038,14.68644935,1.260391865,3.299503301,0.219659909,3.19606192,2.126114426,0.42428712,0.446404013,0.12455254,0.010459684,0.064244138,2.030318954,0.485416719,5.51E-05,0.000667929
Other rubber product manufacturing,13264,1000,910658.074,640.7236242,52.29311701,292.184948,985.2016892,2560.241421,3795.410449,368.938304,1114.839765,205.7846641,30.10955889,19.32166909,3.936163969,5.028287933,1.132970001,0.1112843,0.579183595,19.20799168,4.566544042,5.848366368,16.59664395,1.487224708,5.947061605,0.230083521,2.00058902,1.247094552,0.340797825,0.273055769,0.091359246,0.006463205,0.041818424,1.284526441,0.30411317,-0.000125677,0.000561778
"Pottery, ceramics, and plumbing fixture manufacturing",3004,1000,1078576.978,675.9440298,36.75526051,269.5256347,982.224925,2628.32461,3442.353877,435.0924649,664.3736777,67.21673869,25.23555133,16.33918788,3.125863986,4.156824893,1.033518416,0.085592319,0.494563833,16.23020845,3.779523396,9.345776723,12.56775094,0.655847368,2.441705607,0.224342684,9.564819929,6.311892451,1.254866539,1.361934233,0.422901632,0.02818363,0.185041444,6.201590511,1.403982312,-0.000310301,0.000297554
"Brick, tile, and other structural clay product manufacturing",2923,1000,2012290.212,525.7180661,35.10382429,432.7045928,993.5264832,4381.234766,10025.48961,1000.779413,752.6385057,104.5770474,70.7473537,44.42160474,8.300284259,13.80422573,2.463038769,0.336349854,1.421850356,44.40865521,11.11748264,17.34451216,45.59105021,0.739337274,6.411162665,0.660126262,56.55778601,35.26081882,6.624655484,11.34458627,1.899865766,0.285508732,1.142350944,35.26559866,9.004308925,0.001084762,0.002552526
Clay and non-clay refractory manufacturing,2010,1000,1288700.421,633.8396441,42.68901742,312.2902771,988.8189387,5802.58725,7573.731279,950.7585584,851.7336863,183.2062278,59.66433381,37.73283573,7.268621154,11.04119648,2.14227039,0.273916275,1.205493782,37.67509964,9.247996198,16.33323834,33.41659555,0.838834632,8.07190822,1.002924089,33.27288403,20.98004286,3.808574466,6.553120701,1.092458552,0.166217699,0.672469752,20.83502963,5.244581839,0.000533542,0.001753836
Flat glass manufacturing,1988,1000,2045132.455,520.2105052,41.7085422,419.3198349,981.2388823,16826.12988,4585.112145,1420.035953,879.2374707,48.16502208,81.45380735,52.86409353,10.16241353,12.98430682,3.183952971,0.497878593,1.761161899,51.79929361,12.35403268,27.49978198,22.01952865,0.778110056,31.00061141,0.153832204,59.84789668,39.11806146,7.474814184,9.20754765,2.2992686,0.417290575,1.330914207,37.92283614,9.109374974,-0.001178607,0.001602724
Other pressed and blown glass and glassware manufacturing,3934,1000,1226147.383,617.4748849,42.53440404,326.3558068,986.3650958,4079.503423,2769.512399,528.1224275,690.4568477,63.28159343,29.59101494,18.90471837,3.729779481,4.997157655,1.201316553,0.142736148,0.615306733,18.89195902,4.483100961,9.676043988,12.86529148,0.623301834,6.140273498,0.285916695,7.709188666,4.93958658,1.011583774,1.221563219,0.31577272,0.050174679,0.170507694,4.876898738,1.183154404,-4.68E-06,0.000533923
Glass container manufacturing,4359,1000,1548642.293,522.5736483,41.09003962,412.5810373,976.2447253,7492.930835,5218.871343,1134.031606,784.5756745,67.40464322,60.56565651,38.59475194,7.746772759,10.10737518,2.522487459,0.313175053,1.281094115,38.65576841,9.176461912,21.79864184,25.28247289,0.709603166,12.36147043,0.412575416,39.78872914,25.23898464,5.292689391,6.456994326,1.693781249,0.236885299,0.869394242,25.27334246,6.078935558,0.000129625,0.001100032
